,date,fiscal_period,permno,gics_6d,ret_ex_3d,date_diff,doy_diff
25980,2021-11-03,2021-09-30,15440,253010,-0.09082258,2,0
26000,2021-02-25,2020-12-31,15452,351030,0.034889776,2,0
26001,2021-05-05,2021-03-31,15452,351030,-0.082728215,1,-3
26002,2021-08-04,2021-06-30,15452,351030,0.044322494,1,-1
26003,2021-11-03,2021-09-30,15452,351030,0.014413332,-1,-3
26021,2021-02-25,2020-12-31,15454,351010,0.026026933,0,-2
26022,2021-05-05,2021-03-31,15454,351010,-0.08313688,-1,-3
26023,2021-08-05,2021-06-30,15454,351010,0.025112381,0,-2
26024,2021-11-04,2021-09-30,15454,351010,0.21983564,0,-2
26043,2021-02-24,2020-12-31,15455,601010,0.026579766,0,-2
26044,2021-05-06,2021-03-31,15455,601010,-0.033665992,1,-1
26045,2021-08-05,2021-06-30,15455,601010,-0.0062046754,1,-1
26046,2021-11-04,2021-09-30,15455,601010,-0.018371062,0,-2
26101,2021-02-23,2020-12-31,15457,201010,-0.022762362,-2,-3
26102,2021-05-06,2021-03-31,15457,201010,-0.16719012,0,-1
26103,2021-08-06,2021-06-30,15457,201010,-0.15242463,8,5
26104,2021-11-08,2021-09-30,15457,201010,0.025639374,11,8
26142,2021-02-16,2020-12-31,15478,202020,-0.042449534,0,-2
26143,2021-04-27,2021-03-31,15478,202020,0.0034981053,0,-2
26144,2021-07-27,2021-06-30,15478,202020,0.024830775,0,-2
26145,2021-10-26,2021-09-30,15478,202020,-0.05861635,0,-2
26164,2021-02-24,2020-12-31,15482,201070,-0.066065215,-1,-1
26165,2021-05-07,2021-03-31,15482,201070,0.03150802,-3,-5
26166,2021-08-02,2021-06-30,15482,201070,-0.021201363,-3,-5
26167,2021-11-01,2021-09-30,15482,201070,0.06856688,-3,-4
26199,2021-02-03,2020-12-31,15488,451020,0.07914433,7,5
26200,2021-05-05,2021-03-31,15488,451020,0.021583738,0,-2
26201,2021-07-28,2021-06-30,15488,451020,-0.070779964,0,-2
26202,2021-11-08,2021-09-30,15488,451020,-0.089282,7,5
26219,2021-02-02,2020-12-31,15490,452010,-0.101594746,0,-2
26220,2021-05-12,2021-03-31,15490,452010,-0.14021482,8,6
26221,2021-08-18,2021-06-30,15490,452010,0.108671494,8,6
26222,2021-11-04,2021-09-30,15490,452010,0.043820787,3,1
26243,2021-03-12,2020-12-31,15507,352010,0.043461856,10,8
26244,2021-08-05,2021-06-30,15507,352010,0.09793582,0,-2
26245,2021-11-09,2021-09-30,15507,352010,0.0017977705,5,3
26262,2021-01-27,2020-12-31,15527,401010,-0.13672702,7,5
26263,2021-04-21,2021-03-31,15527,401010,-0.10242108,0,-2
26264,2021-07-21,2021-06-30,15527,401010,0.08042319,0,-2
26265,2021-10-27,2021-09-30,15527,401010,0.10432289,7,5
26283,2021-02-10,2020-12-31,15530,252020,-0.02771826,7,5
26284,2021-05-12,2021-03-31,15530,252020,0.1440507,7,5
26285,2021-09-02,2021-06-30,15530,252020,0.06548447,-6,-8
26286,2021-11-10,2021-09-30,15530,252020,0.028107654,0,-2
26297,2021-05-17,2021-03-31,15533,352010,0.05225633,6,5
26298,2021-08-12,2021-06-30,15533,352010,0.033723786,7,1
26299,2021-11-15,2021-09-30,15533,352010,-0.07928656,6,4
26315,2021-02-25,2020-12-31,15534,352010,0.066163965,1,-1
26316,2021-05-06,2021-03-31,15534,352010,-0.026296442,1,-1
26317,2021-08-05,2021-06-30,15534,352010,0.05050655,1,-1
26318,2021-11-04,2021-09-30,15534,352010,-0.03492038,0,-2
26335,2021-02-25,2020-12-31,15540,402030,0.1759855,-6,-7
26336,2021-05-03,2021-03-31,15540,402030,-0.03219209,-7,-9
26337,2021-07-29,2021-06-30,15540,402030,0.025376897,0,-2
26338,2021-10-28,2021-09-30,15540,402030,0.14084432,0,-2
26356,2021-02-09,2020-12-31,15541,451030,-0.033541527,1,-1
26357,2021-05-06,2021-03-31,15541,451030,-0.031054491,0,-2
26358,2021-08-04,2021-06-30,15541,451030,-0.030027289,-1,-3
26359,2021-11-03,2021-09-30,15541,451030,0.04383708,0,-2
26498,2021-01-26,2020-12-31,15579,453010,-0.027587105,7,4
26499,2021-04-27,2021-03-31,15579,453010,-0.040291607,7,5
26500,2021-07-21,2021-06-30,15579,453010,-0.046752866,1,-1
26501,2021-10-26,2021-09-30,15579,453010,-0.062270496,7,5
26520,2021-02-24,2020-12-31,15585,351030,-0.12382523,0,-2
26521,2021-04-28,2021-03-31,15585,351030,-0.05900484,0,-2
26522,2021-07-27,2021-06-30,15585,351030,0.014355166,-1,-3
26523,2021-10-27,2021-09-30,15585,351030,0.028292697,0,-2
26545,2021-08-12,2021-06-30,15590,251010,0.015860032,0,-2
26561,2021-02-24,2020-12-31,15597,203030,0.037070297,0,-1
26562,2021-05-05,2021-03-31,15597,203030,-0.040522695,0,-2
26563,2021-08-04,2021-06-30,15597,203030,0.013502416,0,-2
26564,2021-11-03,2021-09-30,15597,203030,-0.03626635,0,-2
26589,2021-01-28,2020-12-31,15623,402030,-0.050235566,-6,-6
26590,2021-05-11,2021-03-31,15623,402030,0.06580764,-1,-2
26591,2021-08-03,2021-06-30,15623,402030,-0.04252071,7,5
26592,2021-10-28,2021-09-30,15623,402030,0.079430394,0,-2
26610,2021-02-18,2020-12-31,15627,253010,0.03516564,-5,-7
26611,2021-05-06,2021-03-31,15627,253010,-0.084306866,2,0
26612,2021-08-09,2021-06-30,15627,253010,-0.035739023,6,4
26613,2021-11-04,2021-09-30,15627,253010,0.13781801,0,-2
26646,2021-02-24,2020-12-31,15638,352010,-0.06100927,0,-2
26647,2021-05-05,2021-03-31,15638,352010,0.006404434,0,-2
26648,2021-08-03,2021-06-30,15638,352010,0.19037972,-1,-3
26649,2021-11-04,2021-09-30,15638,352010,-0.13136004,1,-2
26667,2021-02-25,2020-12-31,15643,201040,0.059603,0,-2
26668,2021-05-05,2021-03-31,15643,201040,0.061159454,-1,-2
26669,2021-08-05,2021-06-30,15643,201040,-0.110063635,-4,-6
26670,2021-11-04,2021-09-30,15643,201040,-0.09455268,0,-2
26682,2021-11-15,2021-09-30,15646,352020,0.05453925,7,5
26699,2021-02-10,2020-12-31,15647,201060,-0.0036323722,-2,-1
26700,2021-05-05,2021-03-31,15647,201060,-0.001925521,-6,-8
26701,2021-08-04,2021-06-30,15647,201060,-0.028321395,7,5
26702,2021-11-10,2021-09-30,15647,201060,0.0053762887,14,12
26720,2021-02-02,2020-12-31,15650,402030,0.016137261,-2,-4
26721,2021-04-27,2021-03-31,15650,402030,0.05113782,0,-2
26722,2021-07-29,2021-06-30,15650,402030,0.038607094,2,0
26723,2021-10-26,2021-09-30,15650,402030,-0.08751689,0,-2
26740,2021-02-05,2020-12-31,15651,201020,-0.008065053,1,1
26741,2021-05-20,2021-03-31,15651,201020,0.0008506209,0,-1
26742,2021-08-04,2021-06-30,15651,201020,0.041736692,1,0
26743,2021-11-03,2021-09-30,15651,201020,-0.07423074,6,3
26764,2021-03-01,2020-12-31,15658,352010,0.005968542,5,3
26765,2021-05-05,2021-03-31,15658,352010,0.071505174,-1,-3
26766,2021-08-09,2021-06-30,15658,352010,-0.016078308,4,2
26767,2021-11-02,2021-09-30,15658,352010,0.0068373876,-1,-3
26794,2021-02-23,2020-12-31,15694,351010,0.045822583,0,-2
26795,2021-05-04,2021-03-31,15694,351010,-0.08353092,-2,-4
26796,2021-08-09,2021-06-30,15694,351010,-0.030753462,7,5
26797,2021-11-03,2021-09-30,15694,351010,0.0077482676,7,5
26876,2021-02-25,2020-12-31,15720,551010,-0.01817201,0,-2
26877,2021-04-27,2021-03-31,15720,551010,-0.014911114,-2,-4
26878,2021-07-29,2021-06-30,15720,551010,-0.04330212,2,0
26879,2021-11-02,2021-09-30,15720,551010,-0.0021988216,7,5
26939,2021-02-03,2020-12-31,15724,301010,0.05021339,0,-2
26940,2021-05-05,2021-03-31,15724,301010,-0.097271346,2,0
26941,2021-08-19,2021-06-30,15724,301010,-0.03129993,8,6
26942,2021-11-10,2021-09-30,15724,301010,0.02144418,7,5
26962,2021-02-02,2020-12-31,15735,251020,-0.06797529,0,-2
26963,2021-05-04,2021-03-31,15735,251020,-0.03294295,0,-1
26964,2021-08-02,2021-06-30,15735,251020,-0.021859296,0,-2
26965,2021-11-02,2021-09-30,15735,251020,0.062062413,0,-2
26982,2021-01-28,2020-12-31,15774,401010,-0.008257766,1,-1
26983,2021-04-29,2021-03-31,15774,401010,-0.023193715,0,-2
26984,2021-07-29,2021-06-30,15774,401010,0.014385472,0,-2
26985,2021-10-28,2021-09-30,15774,401010,-0.0055112075,0,-2
26995,2021-05-07,2021-03-31,15775,352020,0.026728319,1,-1
26996,2021-08-05,2021-06-30,15775,352020,-0.015630947,-1,-6
26997,2021-11-02,2021-09-30,15775,352020,-0.14649092,-1,-4
27001,2021-05-13,2021-03-31,15776,352010,-0.00034095056,7,5
27002,2021-08-12,2021-06-30,15776,352010,0.108863935,7,5
27003,2021-11-24,2021-09-30,15776,352010,0.059632786,-33,-35
27010,2021-11-10,2021-09-30,15784,352010,-0.03718532,0,-2
27057,2021-02-25,2020-12-31,15789,351010,-0.12018552,0,-2
27058,2021-04-29,2021-03-31,15789,351010,-0.011853882,0,-2
27059,2021-07-29,2021-06-30,15789,351010,-0.15548925,0,-2
27060,2021-10-28,2021-09-30,15789,351010,-0.13417952,0,-2
27079,2021-03-10,2020-12-31,15795,351020,-0.016016494,6,4
27080,2021-08-04,2021-06-30,15795,351020,-0.105310366,0,-2
27081,2021-11-02,2021-09-30,15795,351020,0.12157218,-1,-3
27103,2021-05-06,2021-03-31,15802,402030,-0.0053395783,1,-7
27104,2021-08-05,2021-06-30,15802,402030,-0.07073988,1,-2
27105,2021-11-09,2021-09-30,15802,402030,0.043430727,0,-2
27122,2021-02-23,2020-12-31,15826,451020,-0.09900024,-1,-3
27123,2021-05-06,2021-03-31,15826,451020,0.024534026,1,-1
27124,2021-08-05,2021-06-30,15826,451020,0.014375773,2,-1
27125,2021-11-04,2021-09-30,15826,451020,-0.08763225,0,-2
27138,2021-03-01,2020-12-31,15831,352020,-0.006761729,0,-12
27139,2021-05-10,2021-03-31,15831,352020,0.030827818,4,1
27140,2021-08-09,2021-06-30,15831,352020,-0.5206953,0,-2
27141,2021-11-08,2021-09-30,15831,352020,-0.0037726285,4,2
27158,2021-01-25,2020-12-31,15838,401010,-0.028922772,4,2
27159,2021-04-20,2021-03-31,15838,401010,0.044401903,-9,-10
27160,2021-07-19,2021-06-30,15838,401010,0.054838892,-1,-3
27161,2021-10-19,2021-09-30,15838,401010,-0.04028242,-1,-2
27179,2021-02-03,2020-12-31,15849,451030,-0.072436556,-5,-7
27180,2021-05-11,2021-03-31,15849,451030,0.14995174,1,-1
27181,2021-08-03,2021-06-30,15849,451030,0.054155223,1,-1
27182,2021-11-02,2021-09-30,15849,451030,0.02555943,1,-1
27197,2021-02-25,2020-12-31,15856,352010,-0.105537064,-6,-7
27198,2021-05-10,2021-03-31,15856,352010,0.029214237,4,2
27211,2021-03-04,2020-12-31,15857,352020,-0.052889086,3,1
27212,2021-05-13,2021-03-31,15857,352020,0.066320874,3,1
27213,2021-08-05,2021-06-30,15857,352020,0.057692006,-4,-6
27214,2021-11-10,2021-09-30,15857,352020,0.027361298,2,0
27228,2021-08-19,2021-06-30,15896,402020,-0.042662725,-7,-9
27229,2021-11-24,2021-09-30,15896,402020,0.01351915,-2,-7
27323,2021-03-11,2020-12-31,16417,403010,-0.019573625,16,14
27379,2021-02-09,2020-12-31,16432,251010,0.06361853,-3,-2
27380,2021-04-30,2021-03-31,16432,251010,-0.035820495,0,-1
27381,2021-08-06,2021-06-30,16432,251010,0.056492332,7,5
27382,2021-11-05,2021-09-30,16432,251010,0.035926346,7,5
27425,2021-01-28,2020-12-31,16505,401010,0.01055241,2,0
27426,2021-04-28,2021-03-31,16505,401010,0.0050117737,-1,-3
27427,2021-07-22,2021-06-30,16505,401010,0.023089604,0,-2
27428,2021-10-20,2021-09-30,16505,401010,0.005612965,-7,-9
27485,2021-01-25,2020-12-31,16548,401010,-0.004878604,0,-2
27486,2021-04-26,2021-03-31,16548,401010,0.0041362047,7,5
27487,2021-07-26,2021-06-30,16548,401010,0.013218695,0,-2
27488,2021-10-25,2021-09-30,16548,401010,0.0150343375,0,-2
27543,2021-02-08,2020-12-31,16555,302030,0.048729964,6,4
27544,2021-05-26,2021-03-31,16555,302030,-0.057887923,0,-2
27545,2021-08-04,2021-06-30,16555,302030,-0.03208822,0,-2
27546,2021-11-03,2021-09-30,16555,302030,0.02832942,-1,-3
27602,2021-02-04,2020-12-31,16600,302020,-0.017958602,7,5
27603,2021-04-29,2021-03-31,16600,302020,0.031810544,7,5
27604,2021-07-29,2021-06-30,16600,302020,0.004490006,7,5
27605,2021-10-28,2021-09-30,16600,302020,-0.032708623,-8,-10
27667,2021-02-16,2020-12-31,17005,351020,-0.024892243,6,4
27668,2021-05-04,2021-03-31,17005,351020,0.06849585,-1,-3
27669,2021-08-04,2021-06-30,17005,351020,-0.030997826,0,-2
27670,2021-11-03,2021-09-30,17005,351020,0.046010528,-2,-4
27727,2021-02-18,2020-12-31,17444,452030,-0.016590746,0,-2
27728,2021-05-03,2021-03-31,17444,452030,0.046513095,3,1
27729,2021-07-30,2021-06-30,17444,452030,0.105242185,0,-2
27730,2021-10-29,2021-09-30,17444,452030,0.116036765,1,-2
27786,2021-02-09,2020-12-31,17478,402030,0.020798014,5,3
27787,2021-04-29,2021-03-31,17478,402030,0.01729735,2,0
27788,2021-07-29,2021-06-30,17478,402030,0.04402152,2,0
27789,2021-10-26,2021-09-30,17478,402030,0.020712687,0,-2
27892,2021-02-09,2020-12-31,17726,151030,0.048479766,7,5
27893,2021-04-19,2021-03-31,17726,151030,0.003925743,0,-2
27894,2021-07-19,2021-06-30,17726,151030,-0.00672983,-1,-2
27895,2021-10-25,2021-09-30,17726,151030,-0.03764121,7,5
27952,2021-01-26,2020-12-31,17743,403010,-0.043450646,0,-2
27953,2021-04-20,2021-03-31,17743,403010,0.017380077,0,-2
27954,2021-07-22,2021-06-30,17743,403010,-0.03101597,2,0
27955,2021-10-21,2021-09-30,17743,403010,0.048073445,2,0
28010,2021-01-25,2020-12-31,17750,303010,0.05541709,0,2
28011,2021-04-23,2021-03-31,17750,303010,-0.07543925,1,0
28012,2021-07-23,2021-06-30,17750,303010,-0.0100106085,0,-1
28013,2021-10-25,2021-09-30,17750,303010,0.012934532,0,2
28069,2021-03-01,2020-12-31,17778,402010,0.0205422,9,5
28070,2021-05-03,2021-03-31,17778,402010,0.003253258,2,-2
28071,2021-08-09,2021-06-30,17778,402010,0.011964489,2,-3
28072,2021-11-08,2021-09-30,17778,402010,-0.012446056,2,-2
28128,2021-01-26,2020-12-31,17830,201010,-0.018639676,0,-2
28129,2021-04-27,2021-03-31,17830,201010,0.02178751,-7,-11
28130,2021-07-27,2021-06-30,17830,201010,0.007321443,0,-2
28131,2021-10-26,2021-09-30,17830,201010,-0.015485314,0,-2
28188,2021-02-03,2020-12-31,17929,551020,-0.014902689,0,-2
28189,2021-05-05,2021-03-31,17929,551020,-0.016436867,0,-2
28190,2021-08-04,2021-06-30,17929,551020,0.021328103,2,0
28191,2021-11-18,2021-09-30,17929,551020,-0.009855471,1,-1
28313,2021-08-10,2021-06-30,18075,151040,-0.10589582,5,3
28314,2021-11-04,2021-09-30,18075,151040,-0.09992649,-11,-13
28370,2021-02-24,2020-12-31,18091,201010,-0.05268393,0,-2
28371,2021-05-05,2021-03-31,18091,201010,-0.017009357,0,-2
28372,2021-08-03,2021-06-30,18091,201010,0.012751546,1,-1
28373,2021-11-03,2021-09-30,18091,201010,0.017347455,7,5
28459,2021-01-20,2020-12-31,18163,303010,-0.03840249,-1,-3
28460,2021-04-20,2021-03-31,18163,303010,-0.0019064858,4,2
28461,2021-07-30,2021-06-30,18163,303010,0.02324215,1,-1
28462,2021-10-19,2021-09-30,18163,303010,-0.03257932,0,-2
28519,2021-02-18,2020-12-31,18411,551010,0.0016544734,1,-2
28520,2021-04-29,2021-03-31,18411,551010,0.025037965,0,-2
28521,2021-07-29,2021-06-30,18411,551010,-0.0074363137,0,-2
28522,2021-11-04,2021-09-30,18411,551010,0.0095393155,7,5
28596,2021-01-29,2020-12-31,18542,201060,0.02788762,1,-2
28597,2021-04-29,2021-03-31,18542,201060,-0.010338427,1,0
28598,2021-07-30,2021-06-30,18542,201060,-0.028999737,1,-2
28599,2021-10-28,2021-09-30,18542,201060,0.036806215,1,0
28656,2021-02-23,2020-12-31,18649,202010,0.044316452,19,17
28657,2021-04-28,2021-03-31,18649,202010,0.02348481,-6,-8
28658,2021-07-22,2021-06-30,18649,202010,-0.0248983,-6,-8
28659,2021-10-27,2021-09-30,18649,202010,0.16333932,-1,-3
28743,2021-01-29,2020-12-31,18729,303010,-0.0023012334,0,-2
28744,2021-04-30,2021-03-31,18729,303010,0.0256653,0,-2
28745,2021-07-30,2021-06-30,18729,303010,-0.04326946,0,-2
28746,2021-10-29,2021-09-30,18729,303010,0.00925478,0,-2
28803,2021-02-09,2020-12-31,19166,151010,-0.08395142,6,4
28804,2021-05-05,2021-03-31,19166,151010,-0.016127449,1,-1
28805,2021-08-03,2021-06-30,19166,151010,-0.07443963,0,-2
28806,2021-11-02,2021-09-30,19166,151010,0.13525426,1,-1
28862,2021-02-04,2020-12-31,19393,352020,-0.04261385,0,-2
28863,2021-04-29,2021-03-31,19393,352020,-0.053093344,-7,-9
28864,2021-07-28,2021-06-30,19393,352020,0.0077573936,-8,-10
28865,2021-10-27,2021-09-30,19393,352020,-0.014821329,-8,-10
28922,2021-01-27,2020-12-31,19561,201010,-0.0075243176,0,-2
28923,2021-04-28,2021-03-31,19561,201010,-0.046998914,0,-2
28924,2021-07-28,2021-06-30,19561,201010,0.013993866,0,-2
28925,2021-10-27,2021-09-30,19561,201010,-0.0113670565,0,-2
28980,2021-02-11,2020-12-31,19721,202010,-0.08634166,7,5
28981,2021-05-04,2021-03-31,19721,202010,-0.085001156,13,-53
28982,2021-08-05,2021-06-30,19721,202010,-0.07916771,15,-2
28983,2021-11-04,2021-09-30,19721,202010,0.048506718,7,5
29043,2021-02-25,2020-12-31,19880,201030,-0.014480783,0,-2
29044,2021-05-06,2021-03-31,19880,201030,0.009317092,7,5
29045,2021-08-05,2021-06-30,19880,201030,-0.083028786,7,5
29046,2021-11-04,2021-09-30,19880,201030,0.012329679,7,5
29081,2021-01-26,2020-12-31,20053,401010,-0.026782298,0,2
29082,2021-04-20,2021-03-31,20053,401010,-0.00069828675,-7,-5
29083,2021-07-20,2021-06-30,20053,401010,-0.018005919,0,-2
29084,2021-10-19,2021-09-30,20053,401010,0.050383084,0,-2
29139,2021-02-08,2020-12-31,20117,451020,-0.1221612,5,3
29140,2021-05-25,2021-03-31,20117,451020,-0.006564527,5,3
29141,2021-08-05,2021-06-30,20117,451020,0.18455845,-4,-6
29142,2021-11-02,2021-09-30,20117,451020,0.025754139,-6,-8
29201,2021-01-25,2020-12-31,20204,201060,-0.048862353,0,-2
29202,2021-05-03,2021-03-31,20204,201060,0.008521014,7,5
29203,2021-07-26,2021-06-30,20204,201060,0.028080808,0,-2
29204,2021-10-25,2021-09-30,20204,201060,0.06054469,0,-2
29277,2021-01-27,2020-12-31,20395,401010,-0.057140965,7,5
29278,2021-04-21,2021-03-31,20395,401010,0.0028627038,0,-2
29279,2021-07-21,2021-06-30,20395,401010,-0.022670563,0,-2
29280,2021-10-20,2021-09-30,20395,401010,-0.0032426778,0,-2
29383,2021-01-27,2020-12-31,20482,351010,0.06656507,7,5
29384,2021-04-20,2021-03-31,20482,351010,-0.012442424,6,3
29385,2021-07-22,2021-06-30,20482,351010,0.002462437,8,5
29386,2021-10-20,2021-09-30,20482,351010,0.06257893,0,-2
29456,2021-01-27,2020-12-31,20512,202020,-0.007028037,0,-2
29457,2021-04-21,2021-03-31,20512,202020,-0.01006871,-7,-9
29458,2021-08-11,2021-06-30,20512,202020,0.00474293,0,-2
29459,2021-10-27,2021-09-30,20512,202020,-0.022024661,0,-2
29519,2021-01-28,2020-12-31,20618,151040,-0.07302593,0,-2
29520,2021-04-29,2021-03-31,20618,151040,-0.077093646,0,-2
29521,2021-07-29,2021-06-30,20618,151040,-0.013298774,0,-2
29522,2021-10-28,2021-09-30,20618,151040,0.019535678,7,5
29626,2021-02-25,2020-12-31,20750,551040,-0.02990203,0,-2
29627,2021-04-29,2021-03-31,20750,551040,-0.0012362357,0,-2
29628,2021-07-29,2021-06-30,20750,551040,0.019072304,0,-2
29629,2021-10-28,2021-09-30,20750,551040,0.01998921,-8,-10
29649,2021-02-19,2020-12-31,20765,201010,0.012719471,2,0
29650,2021-04-28,2021-03-31,20765,201010,-0.03837871,0,-1
29651,2021-07-27,2021-06-30,20765,201010,-0.019482752,0,-3
29652,2021-10-26,2021-09-30,20765,201010,-0.022265244,1,-2
29694,2021-01-28,2020-12-31,21020,203020,0.11220214,7,5
29695,2021-04-22,2021-03-31,21020,203020,0.0010766623,-7,-9
29696,2021-07-22,2021-06-30,21020,203020,0.022803677,0,-2
29697,2021-10-21,2021-09-30,21020,203020,-0.037902366,0,-2
29741,2021-03-01,2020-12-31,21135,151010,0.097944245,0,-2
29742,2021-05-10,2021-03-31,21135,151010,0.25891057,0,-2
29743,2021-08-04,2021-06-30,21135,151010,-0.014978903,0,-1
29744,2021-11-03,2021-09-30,21135,151010,0.0031048642,0,-2
29798,2021-01-28,2020-12-31,21152,452020,0.0028367788,1,-1
29799,2021-04-26,2021-03-31,21152,452020,0.020648949,4,2
29800,2021-07-28,2021-06-30,21152,452020,-0.04788094,0,-1
29801,2021-10-26,2021-09-30,21152,452020,-0.11295568,0,-1
29857,2021-01-26,2020-12-31,21178,201010,0.0023058471,0,-2
29858,2021-04-20,2021-03-31,21178,201010,-0.00732695,0,-2
29859,2021-07-26,2021-06-30,21178,201010,-0.023843199,6,4
29860,2021-10-26,2021-09-30,21178,201010,-0.11409897,7,5
29916,2021-01-28,2020-12-31,21186,151030,-0.02780653,0,-2
29917,2021-05-05,2021-03-31,21186,151030,0.007034568,1,-1
29918,2021-08-05,2021-06-30,21186,151030,-0.026314799,2,0
29919,2021-11-09,2021-09-30,21186,151030,0.009409433,5,3
29974,2021-02-18,2020-12-31,21207,151040,-0.009199237,0,-2
29975,2021-04-29,2021-03-31,21207,151040,-0.023214241,-7,-7
29976,2021-07-22,2021-06-30,21207,151040,-0.021243697,-7,-9
29977,2021-10-28,2021-09-30,21207,151040,-0.0649507,0,-2
30040,2021-02-01,2020-12-31,21259,402030,0.021514332,0,-2
30041,2021-05-25,2021-03-31,21259,402030,0.05165549,-9,-8
30042,2021-08-02,2021-06-30,21259,402030,0.058156848,0,-2
30043,2021-11-01,2021-09-30,21259,402030,-0.08191097,0,1
30097,2021-02-05,2020-12-31,21371,351020,-0.052700058,1,-1
30098,2021-05-06,2021-03-31,21371,351020,-0.08105792,-4,-6
30099,2021-08-05,2021-06-30,21371,351020,-0.1493247,0,-2
30100,2021-11-09,2021-09-30,21371,351020,0.016056253,5,3
30156,2021-02-04,2020-12-31,21573,151030,-0.08638469,7,5
30157,2021-04-29,2021-03-31,21573,151030,0.013818117,0,-2
30158,2021-07-29,2021-06-30,21573,151030,-0.019046623,0,-2
30159,2021-10-27,2021-09-30,21573,151030,-0.05057024,0,-3
30216,2021-02-24,2020-12-31,21776,551010,-0.027856661,15,13
30217,2021-05-05,2021-03-31,21776,551010,-0.02473166,-1,-4
30218,2021-08-04,2021-06-30,21776,551010,0.00578895,0,-1
30219,2021-11-03,2021-09-30,21776,551010,-0.00071395934,0,-1
30275,2021-02-25,2020-12-31,21792,551030,-0.045901496,0,-2
30276,2021-05-06,2021-03-31,21792,551030,-0.025294034,0,-2
30277,2021-08-05,2021-06-30,21792,551030,0.020639095,0,-2
30278,2021-11-04,2021-09-30,21792,551030,0.012955564,0,-2
30334,2021-02-18,2020-12-31,21928,551010,0.018498966,0,-2
30335,2021-04-29,2021-03-31,21928,551010,0.034003276,0,-2
30336,2021-07-29,2021-06-30,21928,551010,0.0044537685,0,-2
30337,2021-10-28,2021-09-30,21928,551010,0.009767613,0,-2
30393,2021-02-02,2020-12-31,21936,352020,-0.04803691,7,5
30394,2021-05-04,2021-03-31,21936,352020,0.028042719,7,5
30395,2021-07-28,2021-06-30,21936,352020,0.03315534,1,-1
30396,2021-11-02,2021-09-30,21936,352020,0.029406285,7,5
30482,2021-02-02,2020-12-31,22103,201040,0.0323287,0,-2
30483,2021-05-05,2021-03-31,22103,201040,0.0071823867,15,13
30484,2021-08-04,2021-06-30,22103,201040,0.0076546986,1,-1
30485,2021-11-03,2021-09-30,22103,201040,-0.008920836,1,-1
30541,2021-01-26,2020-12-31,22111,352020,0.050874397,0,4
30542,2021-04-20,2021-03-31,22111,352020,0.029199487,0,5
30543,2021-07-21,2021-06-30,22111,352020,0.0038910045,0,4
30544,2021-10-19,2021-09-30,22111,352020,0.004176884,0,5
30601,2021-01-27,2020-12-31,22293,452030,-0.031241918,0,-2
30602,2021-04-27,2021-03-31,22293,452030,-0.047767077,0,-2
30603,2021-07-27,2021-06-30,22293,452030,-0.011569234,0,-2
30604,2021-10-26,2021-09-30,22293,452030,-0.066112176,0,-2
30706,2021-01-21,2020-12-31,22509,151010,-0.05021036,7,5
30707,2021-04-15,2021-03-31,22509,151010,0.093599066,-14,-13
30708,2021-07-19,2021-06-30,22509,151010,-0.05516236,4,2
30709,2021-10-20,2021-09-30,22509,151010,0.034487247,-1,0
30766,2021-02-18,2020-12-31,22517,551010,-0.013508778,7,4
30767,2021-05-06,2021-03-31,22517,551010,-0.019118018,0,-3
30768,2021-08-05,2021-06-30,22517,551010,0.020378886,-5,-6
30769,2021-11-04,2021-09-30,22517,551010,-0.020480556,0,-2
30822,2021-01-26,2020-12-31,22592,201050,0.12054701,0,-2
30823,2021-04-27,2021-03-31,22592,201050,-0.03654175,0,-2
30824,2021-07-27,2021-06-30,22592,201050,-0.015061067,0,-2
30825,2021-10-26,2021-09-30,22592,201050,-0.007477105,0,-2
30882,2021-02-04,2020-12-31,22752,352020,-0.03348332,0,-1
30883,2021-04-29,2021-03-31,22752,352020,-0.03987791,0,0
30884,2021-07-29,2021-06-30,22752,352020,-0.008245671,0,-3
30885,2021-10-28,2021-09-30,22752,352020,0.07146067,0,0
30938,2021-02-04,2020-12-31,22779,452010,0.0018193045,0,-2
30939,2021-05-06,2021-03-31,22779,452010,0.050690074,0,-2
30940,2021-08-05,2021-06-30,22779,452010,0.0116533125,0,-2
30941,2021-11-04,2021-09-30,22779,452010,-0.025017414,7,5
31078,2021-02-18,2020-12-31,23026,551010,0.07306074,14,11
31079,2021-04-22,2021-03-31,23026,551010,0.006672384,0,-2
31080,2021-07-22,2021-06-30,23026,551010,0.016332226,0,-2
31081,2021-10-28,2021-09-30,23026,551010,0.021332078,-4,-6
31237,2021-02-24,2020-12-31,23182,551020,0.056069203,0,-2
31238,2021-05-04,2021-03-31,23182,551020,-0.025044726,-1,-3
31239,2021-08-04,2021-06-30,23182,551020,0.030612884,0,-2
31240,2021-11-03,2021-09-30,23182,551020,-0.007592704,0,-2
31295,2021-02-04,2020-12-31,23229,551030,2.4633384e-05,7,5
31296,2021-04-29,2021-03-31,23229,551030,0.01208433,0,1
31297,2021-07-29,2021-06-30,23229,551030,-0.017356683,-7,-6
31298,2021-10-28,2021-09-30,23229,551030,-0.0006541765,0,-2
31355,2021-01-27,2020-12-31,23297,253010,-0.029231187,0,-2
31356,2021-04-28,2021-03-31,23297,253010,0.07179829,0,-2
31357,2021-08-18,2021-06-30,23297,253010,-0.008088463,0,5
